[[131 106]
 [115 122]]
[[135 102]
 [119 118]]
[[135 102]
 [119 118]]
[[135 102]
 [119 118]]
[[135 102]
 [119 118]]
[[140  97]
 [125 112]]
[[140  97]
 [125 112]]
[[125 112]
 [111 126]]
[[125 112]
 [111 126]]
[[ 95 142]
 [ 81 156]]
[[119 118]
 [112 125]]
[[119 118]
 [112 125]]
[[167  70]
 [153  84]]
[[167  70]
 [153  84]]
[[191  46]
 [170  67]]
[[182  55]
 [167  70]]
[[180  57]
 [169  68]]
[[197  40]
 [179  58]]
[[195  42]
 [178  59]]
[[ 78 159]
 [ 77 160]]
[[204  33]
 [191  46]]
[[220  17]
 [201  36]]
[[220  17]
 [201  36]]
[[209  28]
 [202  35]]
[[222  15]
 [216  21]]
