[[103   6]
 [ 19 579]]
[[102   7]
 [ 22 576]]
[[108   1]
 [ 28 570]]
[[ 97  12]
 [ 17 581]]
[[105   4]
 [ 25 573]]
[[ 98  11]
 [ 21 577]]
[[ 94  15]
 [ 18 580]]
[[103   6]
 [ 27 571]]
[[ 82  27]
 [ 11 587]]
[[ 66  43]
 [  7 591]]
[[ 64  45]
 [  6 592]]
[[ 63  46]
 [ 11 587]]
[[ 61  48]
 [ 10 588]]
[[ 59  50]
 [ 11 587]]
[[ 57  52]
 [ 11 587]]
[[ 57  52]
 [ 11 587]]
[[ 53  56]
 [ 14 584]]
[[ 42  67]
 [  4 594]]
[[ 39  70]
 [  1 597]]
[[ 46  63]
 [ 10 588]]
[[ 39  70]
 [  6 592]]
[[ 35  74]
 [  2 596]]
[[ 35  74]
 [  2 596]]
[[ 37  72]
 [  6 592]]
[[ 36  73]
 [  6 592]]
