[[108 192]
 [ 29 271]]
[[108 192]
 [ 29 271]]
[[102 198]
 [ 30 270]]
[[102 198]
 [ 30 270]]
[[ 73 227]
 [ 25 275]]
[[ 73 227]
 [ 25 275]]
[[ 73 227]
 [ 25 275]]
[[ 67 233]
 [ 17 283]]
[[ 48 252]
 [ 21 279]]
[[ 37 263]
 [ 17 283]]
[[ 32 268]
 [  7 293]]
[[ 25 275]
 [  5 295]]
[[ 25 275]
 [  5 295]]
[[ 23 277]
 [  6 294]]
[[ 23 277]
 [  6 294]]
[[ 23 277]
 [  6 294]]
[[ 23 277]
 [  6 294]]
[[ 23 277]
 [  6 294]]
[[ 23 277]
 [  6 294]]
[[ 23 277]
 [  6 294]]
[[ 10 290]
 [  3 297]]
[[  8 292]
 [  4 296]]
[[  6 294]
 [  4 296]]
[[  6 294]
 [  4 296]]
[[  6 294]
 [  4 296]]
