[[227  73]
 [105 195]]
[[232  68]
 [112 188]]
[[222  78]
 [104 196]]
[[223  77]
 [105 195]]
[[223  77]
 [106 194]]
[[229  71]
 [112 188]]
[[200 100]
 [ 84 216]]
[[228  72]
 [117 183]]
[[202  98]
 [ 94 206]]
[[202  98]
 [ 94 206]]
[[235  65]
 [130 170]]
[[224  76]
 [121 179]]
[[238  62]
 [139 161]]
[[199 101]
 [105 195]]
[[228  72]
 [133 167]]
[[204  96]
 [118 182]]
[[258  42]
 [166 134]]
[[263  37]
 [182 118]]
[[270  30]
 [191 109]]
[[271  29]
 [199 101]]
[[282  18]
 [226  74]]
[[274  26]
 [223  77]]
[[279  21]
 [226  74]]
[[286  14]
 [237  63]]
[[283  17]
 [238  62]]
