[[121  79]
 [ 39 161]]
[[ 88 112]
 [ 20 180]]
[[ 82 118]
 [ 16 184]]
[[ 87 113]
 [ 25 175]]
[[ 84 116]
 [ 21 179]]
[[ 82 118]
 [ 19 181]]
[[ 82 118]
 [ 19 181]]
[[ 85 115]
 [ 27 173]]
[[ 78 122]
 [ 18 182]]
[[ 76 124]
 [ 18 182]]
[[ 79 121]
 [ 24 176]]
[[ 72 128]
 [ 14 186]]
[[ 73 127]
 [ 17 183]]
[[ 68 132]
 [ 12 188]]
[[ 69 131]
 [ 14 186]]
[[ 68 132]
 [ 16 184]]
[[ 63 137]
 [  9 191]]
[[ 69 131]
 [ 20 180]]
[[ 65 135]
 [ 16 184]]
[[ 66 134]
 [ 22 178]]
[[ 60 140]
 [ 12 188]]
[[ 62 138]
 [ 16 184]]
[[ 54 146]
 [ 18 182]]
[[ 44 156]
 [  8 192]]
[[ 40 160]
 [  7 193]]
