[[101  49]
 [ 39 111]]
[[ 99  51]
 [ 37 113]]
[[106  44]
 [ 46 104]]
[[ 91  59]
 [ 32 118]]
[[ 95  55]
 [ 38 112]]
[[ 95  55]
 [ 38 112]]
[[ 94  56]
 [ 38 112]]
[[ 88  62]
 [ 33 117]]
[[ 95  55]
 [ 41 109]]
[[ 87  63]
 [ 33 117]]
[[ 81  69]
 [ 26 124]]
[[ 89  61]
 [ 36 114]]
[[ 83  67]
 [ 32 118]]
[[ 77  73]
 [ 28 122]]
[[ 77  73]
 [ 28 122]]
[[ 77  73]
 [ 28 122]]
[[ 73  77]
 [ 24 126]]
[[ 69  81]
 [ 20 130]]
[[ 69  81]
 [ 22 128]]
[[ 72  78]
 [ 26 124]]
[[ 67  83]
 [ 22 128]]
[[ 61  89]
 [ 17 133]]
[[ 56  94]
 [ 19 131]]
[[ 56  94]
 [ 19 131]]
[[ 50 100]
 [ 13 137]]
