[7, 7, 7, 7], 0.7565217391304347
[6, 6, 6, 6], 0.75
[4, 4, 4, 4], 0.749003984063745
[1, 1, 1, 1], 0.7470817120622568
[5, 5, 5, 5], 0.7459016393442623
[0, 0, 0, 0], 0.7445887445887446
[3, 3, 2, 3], 0.7431192660550459
[8, 8, 8, 8], 0.7430830039525692
[2, 2, 3, 2], 0.7426160337552743
[9, 9, 9, 9], 0.7410358565737052
[11, 18, 17, 14], 0.7345132743362832
[16, 10, 11, 17], 0.7193675889328063
[10, 15, 14, 18], 0.7126436781609196
[19, 12, 10, 11], 0.6926829268292682
[13, 19, 12, 15], 0.6792452830188679
[15, 14, 19, 10], 0.6689419795221843
[18, 16, 15, 13], 0.6538461538461539
[14, 11, 16, 19], 0.6517857142857143
[17, 13, 18, 12], 0.5952380952380952
[12, 17, 13, 16], 0.5781990521327014
