[[124  26]
 [ 66  84]]
[[138  12]
 [ 82  68]]
[[126  24]
 [ 75  75]]
[[126  24]
 [ 79  71]]
[[135  15]
 [ 86  64]]
[[141   9]
 [ 91  59]]
[[127  23]
 [ 83  67]]
[[138  12]
 [ 91  59]]
[[130  20]
 [ 86  64]]
[[137  13]
 [ 91  59]]
[[ 63  87]
 [ 23 127]]
[[138  12]
 [ 97  53]]
[[138  12]
 [ 97  53]]
[[138  12]
 [ 97  53]]
[[145   5]
 [102  48]]
[[138  12]
 [ 99  51]]
[[139  11]
 [100  50]]
[[139  11]
 [100  50]]
[[144   6]
 [105  45]]
[[141   9]
 [104  46]]
[[142   8]
 [108  42]]
[[145   5]
 [110  40]]
[[141   9]
 [110  40]]
[[142   8]
 [120  30]]
[[146   4]
 [125  25]]
