[[337 163]
 [128 372]]
[[368 132]
 [160 340]]
[[349 151]
 [148 352]]
[[327 173]
 [129 371]]
[[363 137]
 [166 334]]
[[315 185]
 [117 383]]
[[304 196]
 [106 394]]
[[374 126]
 [179 321]]
[[375 125]
 [182 318]]
[[326 174]
 [139 361]]
[[288 212]
 [101 399]]
[[321 179]
 [139 361]]
[[297 203]
 [113 387]]
[[288 212]
 [103 397]]
[[359 141]
 [178 322]]
[[345 155]
 [173 327]]
[[361 139]
 [192 308]]
[[307 193]
 [139 361]]
[[289 211]
 [124 376]]
[[274 226]
 [107 393]]
[[261 239]
 [ 94 406]]
[[261 239]
 [ 94 406]]
[[266 234]
 [104 396]]
[[264 236]
 [106 394]]
[[250 250]
 [110 390]]
