[[103   6]
 [ 19 579]]
[[102   7]
 [ 22 576]]
[[108   1]
 [ 28 570]]
[[ 97  12]
 [ 17 581]]
[[105   4]
 [ 25 573]]
[[101   8]
 [ 39 559]]
[[ 92  17]
 [ 33 565]]
[[ 50  59]
 [  6 592]]
[[ 54  55]
 [ 11 587]]
[[ 53  56]
 [ 10 588]]
[[ 54  55]
 [ 13 585]]
[[ 45  64]
 [ 10 588]]
[[ 45  64]
 [ 10 588]]
[[ 47  62]
 [ 12 586]]
[[ 45  64]
 [ 14 584]]
[[ 38  71]
 [ 10 588]]
[[ 30  79]
 [  3 595]]
[[ 31  78]
 [  7 591]]
[[ 26  83]
 [  3 595]]
[[ 21  88]
 [  3 595]]
[[ 19  90]
 [  3 595]]
[[ 17  92]
 [  5 593]]
[[ 28  81]
 [ 31 567]]
[[ 23  86]
 [ 27 571]]
[[ 11  98]
 [ 25 573]]
