[[104   5]
 [ 70 528]]
[[ 94  15]
 [ 89 509]]
[[103   6]
 [136 462]]
[[107   2]
 [148 450]]
[[109   0]
 [159 439]]
[[109   0]
 [182 416]]
[[109   0]
 [191 407]]
[[109   0]
 [193 405]]
[[109   0]
 [209 389]]
[[109   0]
 [217 381]]
[[109   0]
 [222 376]]
[[109   0]
 [230 368]]
[[109   0]
 [237 361]]
[[109   0]
 [255 343]]
[[109   0]
 [274 324]]
[[109   0]
 [285 313]]
[[109   0]
 [312 286]]
[[109   0]
 [349 249]]
[[109   0]
 [361 237]]
[[109   0]
 [363 235]]
[[109   0]
 [367 231]]
[[109   0]
 [371 227]]
[[109   0]
 [381 217]]
[[109   0]
 [386 212]]
[[109   0]
 [388 210]]
