[9, 9, 9, 9], 0.9332247557003257
[4, 4, 4, 4], 0.9315960912052117
[0, 0, 0, 0], 0.9283387622149837
[8, 8, 8, 8], 0.9283387622149837
[1, 1, 1, 1], 0.9283387622149837
[2, 2, 2, 2], 0.9250814332247557
[14, 10, 19, 16], 0.9218241042345277
[5, 5, 5, 5], 0.9218241042345277
[7, 7, 7, 7], 0.9218241042345277
[6, 6, 6, 6], 0.9201954397394136
[3, 3, 3, 3], 0.9185667752442996
[18, 15, 13, 19], 0.9136807817589576
[10, 12, 18, 14], 0.9087947882736156
[17, 11, 16, 10], 0.9039087947882736
[16, 19, 11, 11], 0.8941368078175895
[12, 18, 17, 18], 0.8583061889250815
[15, 13, 14, 12], 0.8452768729641694
[19, 16, 15, 15], 0.8452768729641694
[13, 14, 10, 17], 0.8452768729641694
[11, 17, 12, 13], 0.8436482084690554
