[4, 4, 4, 4], 0.9332247557003257
[6, 6, 6, 6], 0.9332247557003257
[2, 2, 2, 2], 0.9315960912052117
[13, 14, 16, 10], 0.9299674267100977
[7, 7, 7, 7], 0.9299674267100977
[5, 5, 5, 5], 0.9283387622149837
[1, 1, 1, 1], 0.9283387622149837
[0, 0, 0, 0], 0.9283387622149837
[9, 9, 9, 8], 0.9283387622149837
[3, 3, 3, 3], 0.9283387622149837
[8, 8, 8, 9], 0.9267100977198697
[12, 16, 12, 11], 0.9153094462540716
[18, 19, 13, 15], 0.9104234527687296
[11, 11, 15, 19], 0.9087947882736156
[15, 18, 18, 14], 0.9071661237785016
[14, 13, 14, 17], 0.8957654723127035
[16, 17, 11, 16], 0.8778501628664495
[17, 12, 10, 18], 0.8501628664495114
[19, 10, 17, 13], 0.8452768729641694
[10, 15, 19, 12], 0.8452768729641694
