[[121  79]
 [ 39 161]]
[[101  99]
 [ 24 176]]
[[ 92 108]
 [ 24 176]]
[[ 92 108]
 [ 24 176]]
[[ 91 109]
 [ 23 177]]
[[ 91 109]
 [ 23 177]]
[[ 88 112]
 [ 20 180]]
[[ 82 118]
 [ 16 184]]
[[ 87 113]
 [ 25 175]]
[[ 84 116]
 [ 21 179]]
[[ 83 117]
 [ 20 180]]
[[ 94 106]
 [ 35 165]]
[[ 80 120]
 [ 18 182]]
[[ 78 122]
 [ 18 182]]
[[ 70 130]
 [ 14 186]]
[[ 70 130]
 [ 14 186]]
[[ 66 134]
 [ 14 186]]
[[ 64 136]
 [ 11 189]]
[[ 64 136]
 [ 11 189]]
[[ 63 137]
 [ 14 186]]
[[ 64 136]
 [ 16 184]]
[[ 64 136]
 [ 26 174]]
[[ 51 149]
 [ 31 169]]
[[ 51 149]
 [ 31 169]]
[[ 36 164]
 [ 11 189]]
